Category;Indicator;Unit;Bad;Threshold;Reference;Status
Fish;Gadus morhua SSB (COD in Subareas I and II);t;0;460000;3230000;660000
Fish;Hippoglosoides platessoides 0-group abundance (Long rough dab - 0-group - Abundance indices);index value;0;54;1315;328
Fish;Melanogrammus aeglefinus SSB (HADDOCK in Subareas I and II);t;0;80000;607000;195000
Fish;coastal Gadus morhua SSB (NORWEGAIN COASTAL WATER COD in Subareas I and II);;0;60000;90000;19000
Fish;Mallottus villosus SSB (CAPELIN in Subareas I and II, excluding Division IIa west of 5°W);t;0;200000;5805000;1297000
Fish;Clupea harengus SSB (HERRING in Subareas I, II, and V, and in Divisions IVa and XIVa);t;0;5000000;11826000;5709000
Fish;Micromesistius poutassou SSB (BLUE WHITING in Subareas I–IX, XII, and XIV);t;0;2250000;10783500;5070000
Fish;Boreogadus saida total stock Biomass (ARCTIC COD after data in Hop & Gjaeseter, 2013);t;0;250000;3000000;1500000
Fish;Balaenoptera acutorostrata Abundance level in the Barents Sea compared to 1989-1995 period ;indiv.;0;71000;168000;80000
Fish;"Pagophilus groenlandicus stock size (HARP SEAL from Greenland area + White Sea/Barents Sea area; ICES data)";indiv.;0;690000;3900000;1916000
Mammals;Proportion of non-threatened Cetacean species (from Norwegian Red list);%;0;75;100;75
Mammals;Proportion of non-threatened pagophiletic Mammals;%;0;75;100;45
Mammals;Proportion of non-threatened coastal mammal species (3 species);%;0;99;100;66
Mammals;Proportion of non-threatened coastal mammal species (3 species);%;0;99;100;66
Fish;Proportion of non-threatened Fish species (according to Norwegian red list);%;0;99;100;92.3
Birds;Uria lomvia Population trend over last 5 yr;%;-100;-20;100;-28
Birds;Uria lomvia Breeding success over last 3 yr;;0;0.6;1;0.6
Birds;Uria aalge Population trend over last 5 yr;%;-100;-20;100;-15
Birds;Rissa tridactyla Population trend over last 5 yr;%;-100;-20;100;-23
Birds;Rissa tridactyla Breeding success over last 5 yr;[nest-leaving chicks/pair]-ratio;0;0.5;1;0.42
Birds;Fratercula arctica Population trend over last 5 yr;%;-100;-20;100;-15
Birds;Abundance of Alle alle at sea (Little auk, sighting data);% of BASELINE;0;80;130;134
Birds;Abundance of Fulmarus glacialis at sea (Northern fulmar, sighting data);% of BASELINE;0;80;130;74
Birds;Abundance of Rissa tridactyla at sea (black-legged kittiwake, sighting data);% of BASELINE;0;70;130;111
Birds;Abundance of Uria lomvia at sea (polar guillemot, sighting data);% of BASELINE;0;80;130;105
Birds;Abundance of Uria aalge at sea (common guillemot, sighting data);% of BASELINE;0;80;130;107
Birds;Abundance of Fratercula arctica at sea (atlantic puffin, sighting data);% of BASELINE;0;80;130;110
Birds;Proportion of non-threatened Pelagos-feeding seabird species;%;0;75;100;55
